adr_address	adr_number	zip_zipcode
1	11	12245410
2	18	12245200
3	25	12245031
4	32	12228560
5	39	12230130
6	46	12227180
7	53	12230180
8	60	12209570
9	67	12230111
10	74	12230010
11	81	12209590
12	88	12228720
13	95	12245380
14	102	12245410
15	109	12227470
16	116	12245230
17	123	12227210
18	130	12245031
19	137	12230300
20	144	12228550
21	151	12245330
22	158	12245011
23	165	12227450
24	172	12230300
25	179	12230280
26	186	12228650
27	193	12228560
28	200	12245230
29	207	12230210
30	214	12227380
31	221	12227180
32	228	12209620
33	235	12209660
34	242	12209904
35	249	12227320
36	256	12210031
37	263	12209550
38	270	12210120
39	277	12227900
40	284	12228600
41	291	12228462
42	298	12209530
43	305	12245190
44	312	12227290
45	319	12245010
46	326	12210080
47	333	12227410
48	340	12230341
49	347	12210110
50	354	12227330
51	361	12245280
52	368	12228590
53	375	12245200
54	382	12227500
55	389	12245130
56	396	12210031
57	403	12230240
58	410	12209550
59	417	12227290
60	424	12209535
61	431	12228640
62	438	12228760
63	445	12230260
64	452	12228610
65	459	12227001
66	466	12228660
67	473	12210041
68	480	12230111
69	487	12228500
70	494	12230280
71	501	12228660
72	508	12210070
73	515	12230250
74	522	12245130
75	529	12245370
76	536	12228500
77	543	12245080
78	550	12228520
79	557	12209920
80	564	12245411
81	571	12228470
82	578	12245100
83	585	12209621
84	592	12230111
85	599	12227010
86	606	12227220
87	613	12227360
88	620	12209630
89	627	12230050
90	634	12210060
91	641	12245000
92	648	12245440
93	655	12228462
94	662	12228560
95	669	12230170
96	676	12228690
97	683	12209530
98	690	12230140
99	697	12210100
100	704	12245000
101	711	12210041
102	718	12210120
103	725	12230320
104	732	12245430
105	739	12227490
106	746	12245130
107	753	12228570
108	760	12209660
109	767	12245080
110	774	12245061
111	781	12228670
112	788	12210080
113	795	12228510
114	802	12210050
115	809	12227260
116	816	12209530
117	823	12209550
118	830	12228720
119	837	12228700
120	844	12230300
121	851	12209621
122	858	12227200
123	865	12210070
124	872	12209620
125	879	12245370
126	886	12210041
127	893	12227430
128	900	12230080
129	907	12210000
130	914	12230011
131	921	12230060
132	928	12230341
133	935	12245030
134	942	12227190
135	949	12227210
136	956	12209920
137	963	12227210
138	970	12227220
139	977	12230310
140	984	12230110
141	991	12228614
142	998	12228500
143	1005	12245450
144	1012	12228530
145	1019	12230200
146	1026	12228690
147	1033	12230260
148	1040	12227240
149	1047	12228480
150	1054	12210080
151	1061	12227320
152	1068	12227200
153	1075	12210120
154	1082	12209600
155	1089	12228680
156	1096	12227210
157	1103	12245903
158	1110	12230010
159	1117	12228640
160	1124	12245022
161	1131	12230111
162	1138	12227300
163	1145	12209532
164	1152	12230075
165	1159	12210070
166	1166	12228610
167	1173	12209560
168	1180	12210100
169	1187	12227450
170	1194	12230110
171	1201	12228600
172	1208	12227410
173	1215	12245080
174	1222	12227410
175	1229	12230330
176	1236	12230020
177	1243	12230060
178	1250	12245370
179	1257	12245430
180	1264	12245011
181	1271	12227490
182	1278	12230320
183	1285	12245360
184	1292	12230010
185	1299	12230300
