zip_zipcode	zip_street	area	Latitude	Longitude		
12228460	Rua H8A	Campus do CTA	-23,2024	-45,8742	-23,2024	-45,8742
12228461	Rua H8B	Campus do CTA	-23,2029	-45,8747	-23,2029	-45,8747
12228462	Rua H8C	Campus do CTA	-23,2039	-45,8746	-23,2039	-45,8746
12228470	Rua H20B	Campus do CTA	-23,201	-45,8729	-23,201	-45,8729
12228480	Rua H23A	Campus do CTA	-23,199	-45,8763	-23,199	-45,8763
12228490	Rua H22A	Campus do CTA	-23,2001	-45,8738	-23,2001	-45,8738
12228500	Rua H19B	Campus do CTA	-23,2016	-45,8717	-23,2016	-45,8717
12228510	Rua H19A	Campus do CTA	-23,2005	-45,8718	-23,2005	-45,8718
12228520	Rua H17C	Campus do CTA	-23,1988	-45,8735	-23,1988	-45,8735
12228530	Rua H17B	Campus do CTA	-23,1982	-45,8731	-23,1982	-45,8731
12228540	Rua H20A	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228550	Rua H 27E	Campus do CTA	-23,2123	-45,7831	-23,2123	-45,7831
12228560	Rua H25C	Campus do CTA	-23,1973	-45,8723	-23,1973	-45,8723
12228570	Rua H25D	Campus do CTA	-23,197	-45,8713	-23,197	-45,8713
12228580	Rua H32	Campus do CTA	-23,2124	-45,7831	-23,2124	-45,7831
12228590	Rua H25A	Campus do CTA	-23,1979	-45,8691	-23,1979	-45,8691
12228600	Rua H25B	Campus do CTA	-23,1974	-45,8685	-23,1974	-45,8685
12228610	Rua H9A	Campus do CTA	-23,1965	-45,867	-23,1965	-45,867
12228611	Rua H9B	Campus do CTA	-23,1961	-45,8675	-23,1961	-45,8675
12228612	Rua H9C	Campus do CTA	-23,1956	-45,868	-23,1956	-45,868
12228613	Rua H13	Campus do CTA	-23,1803	-45,8871	-23,1803	-45,8871
12228614	Rua H15	Campus do CTA	-23,1803	-45,8871	-23,1803	-45,8871
12228615	Praça Marechal-do-Ar Eduardo Gomes	Campus do CTA	-23,2055	-45,8823	-23,2055	-45,8823
12228616	Alameda do Cpor	Campus do CTA	-23,2451	-45,9349	-23,2451	-45,9349
12228620	Rua H27B	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228630	Rua H27C	Campus do CTA	-23,199	-45,8705	-23,199	-45,8705
12228640	Rua H27D	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228650	Rua H27A	Campus do CTA	-23,1999	-45,8714	-23,1999	-45,8714
12228660	Rua H26A	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228670	Rua H21A	Campus do CTA	-23,202	-45,8706	-23,202	-45,8706
12228680	Rua da Granja	Campus do CTA	-23,205	-45,8576	-23,205	-45,8576
12228690	Rua H18C	Campus do CTA	-23,2029	-45,8703	-23,2029	-45,8703
12228700	Rua H18B	Campus do CTA	-23,2034	-45,8708	-23,2034	-45,8708
12228710	Rua H18A	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228720	Rua H10E	Campus do CTA	-23,2237	-45,9009	-23,2237	-45,9009
12228730	Rua H10B	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228740	Rua H30A	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12228750	Rua H11A	Campus do CTA	-23,2042	-45,865	-23,2042	-45,865
12228760	Rua H12A	Campus do CTA	-23,19	-45,8846	-23,19	-45,8846
12209520	Rua Professora Maria Luiza Guimarães Medeiros	Centro	-23,1852	-45,8797	-23,1852	-45,8797
12209525	Rua Antonio Galdino dos Santos Filho	Centro	-23,19	-45,8846	-23,19	-45,8846
12209530	Rua José de Alencar	Centro	-23,1835	-45,8784	-23,1835	-45,8784
12209531	Praça Ayrton Senna da Silva	Centro	-23,1699	-45,7787	-23,1699	-45,7787
12209532	Travessa Santa Cruz	Centro	-23,1649	-45,8943	-23,1649	-45,8943
12209535	Rua Desembargador Francisco Murilo Pinto	Centro	-23,1858	-45,8788	-23,1858	-45,8788
12209540	Rua Conselheiro Rodrigues Alves	Centro	-23,1817	-45,8791	-23,1817	-45,8791
12209550	Rua Coronel Moraes	Centro	-23,1861	-45,881	-23,1861	-45,881
12209560	Rua Alípio da Silva Viana	Centro	-23,1853	-45,882	-23,1853	-45,882
12209570	Rua Maurício Diamante	Centro	-23,1851	-45,8811	-23,1851	-45,8811
12209580	Rua Ana Bonadio	Centro	-23,1843	-45,8804	-23,1843	-45,8804
12209590	Rua Alberto Consiglio	Centro	-23,1841	-45,8804	-23,1841	-45,8804
12209600	Rua Áurea	Centro	-23,1844	-45,8802	-23,1844	-45,8802
12209610	Praça Carlos Maldonado Campoy	Centro	-23,1855	-45,8807	-23,1855	-45,8807
12209620	Travessa Cândido Portinari	Centro	-23,18	-45,8876	-23,18	-45,8876
